grant_or_consortium,description,layer_type,fiscal_year,edge_context,source_ref
VEO,Versatile Emerging infectious disease Observatory,CONSORTIUM_FUNDING,2020,Coordinator of VEO (Versatile Emerging infectious disease Observatory),EU CORDIS 874735
ECRAID,European Clinical Research Alliance on Infectious Diseases,CONSORTIUM_FUNDING,2020,Coordinator of ECRAID (European Clinical Research Alliance on Infectious Diseases),EU CORDIS 965313
DURABLE,DURABLE EU project,CONSORTIUM_FUNDING,2020,Coordinator of DURABLE (DURABLE EU project),EU CORDIS 848223
COMPARE,COMPARE: Collaborative Management Platform for detection and Analyses,CONSORTIUM_FUNDING,2020,Coordinator of COMPARE (COMPARE: Collaborative Management Platform for detection and Analyses),EU CORDIS 643476
