name,tier,org,virology_betweenness,policy_betweenness,coauthor_betweenness
Irina Chestakova,0,,0.0,0.0,0.0
Jon D. Laman,0,,0.0,0.0,0.0
M. Steven Oberste,0,,0.0,0.0,0.0
Klaus Stöhr,0,,0.0,0.0,0.0
Chris Lauber,0,,0.0,0.0,0.0
Jeroen Demmers,0,,0.0,0.0,0.0
Ron A. M. Fouchier,0,,0.0,0.0,0.0
Jan Groen,0,,0.0,0.0,0.0
Ali M. Zaki,0,,0.0,0.0,0.0
Marcel A. Müller,0,,0.0,0.0,0.0
Wentao Li,0,,0.0,0.0,0.0
Dennis de Meulder,0,,0.0,0.0,0.0
Ronald de Groot,0,,0.0,0.0,0.0
John S. Tam,0,,0.0,0.0,0.0
Áine O’Toole,0,,0.0,0.0,0.0
Stefan van Nieuwkoop,0,,0.0,0.0,0.0
Paul K.S. Chan,0,,0.0,0.0,0.0
Ernst J. Verschoor,0,,0.0,0.0,0.0
Frans W. Rozendaal,0,,0.0,0.0,0.0
Eefje J. A. Schrauwen,0,,0.0,0.0,0.0
Geert van Amerongen,0,,0.0,0.0,0.0
David F. Nieuwenhuijse,0,,0.0,0.0,0.0
Guus Koch,0,,0.0,0.0,0.0
Babs E. Verstrepen,0,,0.0,0.0,0.0
Volker Thiel,0,,0.0,0.0,0.0
Martin Linster,0,,0.0,0.0,0.0
Peter J. M. Rottier,0,,0.0,0.0,0.0
Miranda M. L. van Rijen,0,,0.0,0.0,0.0
Berend‐Jan Bosch,0,,0.0,0.0,0.0
Jan M. Broekman,0,,0.0,0.0,0.0
Doreen Muth,0,,0.0,0.0,0.0
Ali Moh Zaki,0,,0.0,0.0,0.0
Barry Rockx,0,,0.0,0.0,0.0
J.C. de Jong,0,,0.0,0.0,0.0001
Derek J. Smith,0,,0.0,0.0,0.0
Ernst Kuipers,2,Erasmus MC,0.0,0.0,0.0
Bernadette G. van den Hoogen,0,,0.0,0.0,0.0
Chunyan Wang,0,,0.0,0.0,0.0
